,embassy_sensor,B21
0,35.0,22.26
1,28.0,19.080000000000002
2,24.0,15.105
3,24.0,11.13
4,22.0,8.745000000000001
5,23.0,8.48
6,22.0,9.805
7,28.0,10.865
8,27.0,11.925
9,21.0,15.105
10,21.0,13.25
11,21.0,12.72
12,17.0,16.165
13,21.0,19.875
14,23.0,12.190000000000001
15,20.0,18.02
16,11.0,16.165
17,11.0,7.6850000000000005
18,19.0,6.36
19,15.0,7.6850000000000005
20,16.0,7.95
21,14.0,8.48
22,15.0,8.48
23,16.0,7.6850000000000005
24,20.0,6.36
25,15.0,5.035
26,15.0,3.71
27,13.0,5.035
28,16.0,6.625
29,16.0,8.215
30,16.0,9.01
31,17.0,9.01
32,11.0,8.48
33,14.0,6.36
34,16.0,9.01
35,17.0,8.215
36,22.0,10.335
37,14.0,14.84
38,13.0,11.13
39,21.0,9.540000000000001
40,23.0,20.405
41,19.0,20.14
42,31.0,17.755000000000003
43,27.0,21.73
44,33.0,19.875
45,41.0,19.080000000000002
46,52.0,33.39
47,53.0,30.21
48,27.0,21.465
49,26.0,16.43
50,28.0,13.515
51,28.0,10.07
52,27.0,14.045
53,37.0,14.575000000000001
54,48.0,23.32
55,47.0,27.03
56,48.0,38.955000000000005
57,61.0,66.78
58,59.0,62.010000000000005
59,77.0,20.405
60,134.0,126.67
61,132.0,201.4
62,162.0,272.95
63,156.0,139.125
64,211.0,228.16500000000002
65,131.0,133.03
66,81.0,151.58
67,35.0,71.815
68,24.0,40.28
69,28.0,23.85
70,29.0,38.160000000000004
71,25.0,23.85
72,18.0,13.25
73,11.0,6.890000000000001
74,21.0,4.7700000000000005
75,15.0,3.71
76,14.0,6.890000000000001
77,18.0,7.95
78,22.0,14.045
79,31.0,17.755000000000003
80,37.0,28.885
81,38.0,30.740000000000002
82,54.0,37.365
83,68.0,96.19500000000001
84,77.0,162.18
85,94.0,190.8
86,132.0,201.93
87,187.0,195.305
88,167.0,190.005
89,178.0,226.84
90,244.0,183.91
91,138.0,133.29500000000002
92,79.0,69.43
93,87.0,44.785000000000004
94,118.0,70.75500000000001
95,75.0,101.23
96,64.0,54.325
97,57.0,46.905
98,22.0,40.81
99,21.0,8.48
100,26.0,7.95
101,28.0,11.13
102,20.0,12.455
103,38.0,10.600000000000001
104,35.0,12.72
105,56.0,16.165
106,45.0,23.32
107,48.0,29.150000000000002
108,38.0,34.715
109,33.0,29.68
110,30.0,16.96
111,30.0,20.14
112,49.0,32.595
113,56.0,36.305
114,36.0,31.270000000000003
115,28.0,14.84
116,22.0,10.07
117,33.0,9.805
118,41.0,14.575000000000001
119,46.0,18.55
120,38.0,21.200000000000003
121,41.0,18.55
122,31.0,19.345000000000002
123,21.0,14.31
124,15.0,7.42
125,17.0,9.275
126,28.0,13.780000000000001
127,25.0,11.925
128,30.0,13.780000000000001
129,28.0,14.575000000000001
130,45.0,18.285
131,29.0,39.485
132,42.0,33.655
133,34.0,35.775
134,31.0,26.235000000000003
135,38.0,28.09
136,22.0,31.005000000000003
137,16.0,11.925
138,14.0,4.24
139,17.0,5.300000000000001
140,22.0,12.72
141,22.0,18.02
142,26.0,19.080000000000002
143,21.0,21.200000000000003
144,28.0,15.105
145,18.0,13.515
146,19.0,6.890000000000001
147,15.0,11.66
148,22.0,5.83
149,20.0,6.890000000000001
150,17.0,5.83
151,13.0,5.83
152,13.0,4.24
153,12.0,4.24
154,10.0,4.7700000000000005
155,15.0,6.36
156,16.0,6.625
157,18.0,6.625
158,11.0,8.215
159,17.0,12.190000000000001
160,21.0,9.805
161,16.0,11.66
162,15.0,6.890000000000001
163,14.0,5.300000000000001
164,17.0,6.095000000000001
165,18.0,7.155
166,21.0,7.42
167,11.0,6.095000000000001
168,13.0,4.24
169,12.0,3.71
170,13.0,3.18
171,14.0,3.71
172,16.0,4.7700000000000005
173,18.0,5.565
174,16.0,5.300000000000001
175,20.0,3.71
176,23.0,9.540000000000001
177,25.0,14.31
178,32.0,25.705000000000002
179,35.0,33.125
180,35.0,33.92
181,20.0,24.645
182,11.0,8.215
183,16.0,6.095000000000001
184,19.0,9.805
185,19.0,16.43
186,16.0,21.465
187,11.0,6.095000000000001
188,14.0,4.24
189,11.0,3.975
190,15.0,5.300000000000001
191,12.0,5.565
192,11.0,4.505
193,11.0,4.24
194,11.0,4.7700000000000005
195,14.0,5.565
196,21.0,6.36
197,32.0,11.13
198,42.0,22.790000000000003
199,31.0,23.32
200,28.0,20.67
201,31.0,18.285
202,20.0,18.285
203,20.0,14.31
204,18.0,13.515
205,23.0,17.755000000000003
206,15.0,12.455
207,19.0,8.215
208,16.0,10.335
209,15.0,8.215
210,18.0,7.42
211,14.0,7.155
212,13.0,6.095000000000001
213,14.0,5.035
214,13.0,4.24
215,13.0,3.975
216,17.0,7.155
217,11.0,9.805
218,16.0,6.36
219,15.0,4.24
220,12.0,3.18
221,16.0,2.915
222,14.0,2.915
223,18.0,3.71
224,26.0,14.045
225,22.0,30.740000000000002
226,18.0,20.405
227,15.0,7.155
228,14.0,6.095000000000001
229,14.0,6.095000000000001
230,10.0,5.565
231,10.0,3.71
232,15.0,5.565
233,10.0,4.505
234,11.0,2.3850000000000002
235,12.0,1.3250000000000002
236,15.0,2.12
237,16.0,4.24
238,16.0,5.83
239,15.0,7.42
240,22.0,10.07
241,21.0,11.395000000000001
242,41.0,13.780000000000001
243,23.0,20.935000000000002
244,21.0,12.190000000000001
245,17.0,10.865
246,19.0,11.66
247,22.0,13.25
248,22.0,15.635000000000002
249,15.0,16.165
250,16.0,5.83
251,10.0,3.71
252,13.0,3.71
253,13.0,2.6500000000000004
254,8.0,1.3250000000000002
255,5.0,0.265
256,7.0,0.265
257,11.0,1.06
258,12.0,1.59
259,10.0,1.855
260,12.0,1.06
261,8.0,1.3250000000000002
262,13.0,2.12
263,20.0,3.71
264,26.0,5.83
265,28.0,12.455
266,31.0,15.105
267,17.0,14.045
268,13.0,7.6850000000000005
269,13.0,8.215
270,13.0,8.215
271,12.0,4.7700000000000005
272,22.0,7.6850000000000005
273,22.0,19.61
274,20.0,6.890000000000001
275,22.0,9.540000000000001
276,18.0,5.300000000000001
277,16.0,4.7700000000000005
278,19.0,5.83
279,9.0,2.915
280,11.0,1.06
281,8.0,1.06
282,6.0,1.59
283,6.0,1.06
284,8.0,1.3250000000000002
285,13.0,1.06
286,15.0,4.7700000000000005
287,15.0,5.035
288,15.0,4.24
289,14.0,4.7700000000000005
290,17.0,5.300000000000001
291,18.0,5.300000000000001
292,15.0,5.565
293,15.0,5.565
294,17.0,6.36
295,22.0,6.625
296,14.0,7.95
297,22.0,9.01
298,16.0,7.95
299,12.0,6.36
300,10.0,5.83
